# 発注先_フォーマット名	項目	数量	単位	単価	原価
山一地所_フローリング工事(4.5畳2階)	畳運搬費	5	枚	500	1200
山一地所_フローリング工事(4.5畳2階)	根太材	9	本	1200	1000
山一地所_フローリング工事(4.5畳2階)	構造用合板	5	枚	3200	2500
山一地所_フローリング工事(4.5畳2階)	スタイロフォーム	4	枚	800	750
山一地所_フローリング工事(4.5畳2階)	巾木材	1	ケース	3000	1295
山一地所_フローリング工事(4.5畳2階)	フロア材(半坪)	5	ケース	5000	4000
山一地所_フローリング工事(4.5畳2階)	施工手間	1.5	人工	28000	20000
山一地所_フローリング工事(4.5畳2階)	廃材運搬費	1	式	4000	0
山一地所_フローリング工事(4.5畳2階)	副資材費(ビス・接着剤等)	1	式	5000	0
山一地所_フローリング工事(4.5畳2階)	資材機材運搬費	1	式	8000	0
山一地所_フローリング工事(4.5畳2階)	遮音シート	1.5	本	3500	3000
山一地所_フローリング工事(6畳)	畳運搬費	6	枚	500	1200
山一地所_フローリング工事(6畳)	根太材	12	本	1200	1000
山一地所_フローリング工事(6畳)	構造用合板	6	枚	3200	2500
山一地所_フローリング工事(6畳)	スタイロフォーム	5	枚	800	750
山一地所_フローリング工事(6畳)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(6畳)	フロア材	6	ケース	5000	4000
山一地所_フローリング工事(6畳)	施工手間	2	人工	28000	20000
山一地所_フローリング工事(6畳)	副資材費(ビス・接着剤等)	1	式	4000	0
山一地所_フローリング工事(6畳)	廃材運搬費	1	式	5000	0
山一地所_フローリング工事(6畳)	資材機材運搬費	1	式	10000	0
山一地所_フローリング工事(6畳2階)	畳運搬費	6	枚	500	1200
山一地所_フローリング工事(6畳2階)	根太材	12	本	1200	1000
山一地所_フローリング工事(6畳2階)	構造用合板	6	枚	3200	2500
山一地所_フローリング工事(6畳2階)	スタイロフォーム	5	枚	800	750
山一地所_フローリング工事(6畳2階)	巾木材	2	ケース	3000	1295
山一地所_フローリング工事(6畳2階)	フロア材(半坪)	6	ケース	5000	4000
山一地所_フローリング工事(6畳2階)	施工手間	2	人工	28000	20000
山一地所_フローリング工事(6畳2階)	廃材運搬費	1	式	4000	0
山一地所_フローリング工事(6畳2階)	副資材費(ビス・接着剤等)	1	式	5000	0
